group_id,model_variant,n_nodes,top_gene_sets,top_pathways,top_go_terms,summary
A0,GNN text-only,464,"GSE230450,GSE230520-2-vs-0-human up; GSE140026,GSE140029-6-vs-0-human up; GSE121905-2-vs-3-human up; GSE109143-0-vs-1-human up; GSE133112-2-vs-1-human up",Transcriptional regulation by RUNX3; Developmental Lineage of Pancreatic Ductal Cells; Regulation of CDH1 Function; Axon guidance; Degradation of the extracellular matrix; Nervous system development; PCP/CE pathway; Degradation of CDH1; Extracellular matrix organization; p53-Dependent G1 DNA Damage Response,Regulation Of Apoptotic Process; Regulation Of Cell Migration; Negative Regulation Of Programmed Cell Death; Positive Regulation Of DNA-templated Transcription; Regulation Of Cell Population Proliferation; Negative Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Negative Regulation Of Cellular Process; Positive Regulation Of Intracellular Signal Transduction; Positive Regulation Of Transcription By RNA Polymerase II,"The cluster of gene sets primarily focuses on the regulation of apoptotic process, which involves the control of programmed cell death. This process is crucial for maintaining cellular homeostasis and development, and dysregulation can lead to various diseases, including cancer. The gene sets are involved in the regulation of apoptotic process, which is a key mechanism in the control of cell death."
A1,GNN text-only,499,"GSE163726-3-vs-4-human dn; GSE89154-2-vs-3-human up; GSE238013-8-vs-2-human up; GSE255774,GSE255775-4-vs-0-human dn; GSE213142,GSE240717-5-vs-7-human dn",Developmental Lineage of Pancreatic Ductal Cells; Developmental Lineage of Mammary Gland Luminal Epithelial Cells; Transcriptional regulation by RUNX3; Degradation of the extracellular matrix; Extracellular matrix organization; Signaling by ALK in cancer; Nervous system development; Signaling by ALK fusions and activated point mutants; Collagen degradation; Axon guidance,Regulation Of Apoptotic Process; Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Positive Regulation Of Cell Migration; Negative Regulation Of Apoptotic Process; Positive Regulation Of Intracellular Signal Transduction; Negative Regulation Of Cellular Process; Positive Regulation Of DNA-templated Transcription; Negative Regulation Of Programmed Cell Death; Positive Regulation Of Cell Motility,"The gene set cluster is characterized by its focus on the immune response, particularly in macrophages, and the regulation of gene expression through mechanisms such as alternative polyadenylation and intronic polyadenylation."
A2,GNN text-only,410,"GSE137270,GSE160583-3-vs-6-human dn; GSE109143-2-vs-3-human dn; GSE218585-5-vs-9-human up; GSE223806,GSE223809-2-vs-4-human up; GSE154577-10-vs-12-human up",Metabolism of proteins; Metabolism of RNA; Translation; rRNA processing; FASTK family proteins regulate processing and stability of mitochondrial RNAs; tRNA processing in the mitochondrion; Signal Transduction; Mitochondrial RNA degradation; Cellular responses to stimuli; Mitochondrial translation,Macromolecule Biosynthetic Process; Peptide Biosynthetic Process; Translation; Cytoplasmic Translation; Gene Expression; Positive Regulation Of Cellular Biosynthetic Process; Ribonucleoprotein Complex Biogenesis; Ribosome Biogenesis; protein-RNA Complex Assembly; Ribosomal Small Subunit Biogenesis,"The gene sets in this cluster are primarily involved in the process of translation within the cell. Translation is the process by which ribosomes synthesize proteins from messenger RNA (mRNA) transcripts. This process is crucial for the production of proteins necessary for various cellular functions. The cluster includes gene sets related to translation, RNA processing, and mitochondrial RNA degradation, indicating a common theme of protein synthesis and regulation."
A3,GNN text-only,423,GSE234397-2-vs-1-human up; GSE148731-2-vs-5-human up; GSE155734-0-vs-9-human dn; GSE52447-3-vs-2-human dn; GSE152517-3-vs-9-human up,Axon guidance; Nervous system development; Cellular responses to stimuli; Transcriptional regulation by RUNX3; Regulation of CDH1 Function; PCP/CE pathway; Assembly of the pre-replicative complex; Cellular responses to stress; Cell Cycle Checkpoints; Metabolism of RNA,Regulation Of Apoptotic Process; Negative Regulation Of Programmed Cell Death; Negative Regulation Of Apoptotic Process; Positive Regulation Of DNA-templated Transcription; Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Regulation Of Translation; Ribonucleoprotein Complex Biogenesis; Ribosome Biogenesis; Positive Regulation Of Cell Population Proliferation,"The gene sets in this cluster are primarily involved in the regulation of apoptosis, which is the programmed cell death process. This is evidenced by the frequent sharing of GO Biological Process terms related to apoptosis, such as 'Regulation Of Apoptotic Process' and 'Negative Regulation Of Apoptotic Process'."
A4,GNN text-only,344,"GSE255896-7-vs-6-human up; GSE148234-0-vs-2-human up; GSE199349-2-vs-12-human dn; GSE131473-2-vs-4-human up; GSE128634,GSE128636-4-vs-3-human up",Transcriptional regulation by RUNX3; Axon guidance; Nervous system development; Developmental Lineage of Pancreatic Ductal Cells; Signaling by ALK fusions and activated point mutants; Signaling by ALK in cancer; Extracellular matrix organization; NF-kB is activated and signals survival; p75NTR signals via NF-kB; Degradation of the extracellular matrix,Regulation Of Apoptotic Process; Regulation Of Cell Migration; Positive Regulation Of DNA-templated Transcription; Negative Regulation Of Apoptotic Process; Negative Regulation Of Programmed Cell Death; Positive Regulation Of Intracellular Signal Transduction; Regulation Of Cell Population Proliferation; Positive Regulation Of Transcription By RNA Polymerase II; Positive Regulation Of Cell Motility; Positive Regulation Of Apoptotic Process,"The cluster of gene sets is primarily related to cancer biology, specifically the sensitivity of head and neck squamous cell carcinoma (HNSCC) to ionizing radiation. This is determined by the number of cells with high clonogenic potential and stem-like features, which are dynamically regulated in response to treatment."
A5,GNN text-only,407,GSE158144-13-vs-5-human up; GSE213142-5-vs-0-human dn; GSE79888-3-vs-4-human up; GSE130534-9-vs-10-human up; GSE132913-4-vs-3-human dn,Cellular responses to stimuli; rRNA processing; Cellular responses to stress; Translation; Axon guidance; Nervous system development; Metabolism of RNA; Regulation of expression of SLITs and ROBOs; Metabolism of proteins; Response of EIF2AK4 (GCN2) to amino acid deficiency,Regulation Of Apoptotic Process; Positive Regulation Of Intracellular Signal Transduction; Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Negative Regulation Of Apoptotic Process; Translation; Gene Expression; Macromolecule Biosynthetic Process; Cytoplasmic Translation; Negative Regulation Of Programmed Cell Death,"The gene sets in this cluster are primarily related to the regulation of apoptotic process, translation, and other cellular responses to stimuli. These genes are involved in various biological processes, including regulation of cell population proliferation, migration, and apoptosis, as well as translation and macromolecule biosynthesis."
A6,GNN text-only,498,"GSE78102,GSE78110-2-vs-4-human dn; GSE53983-0-vs-2-human dn; GSE132624-5-vs-10-human dn; GSE131249-3-vs-4-human up; GSE136711-8-vs-7-human up",Developmental Lineage of Pancreatic Ductal Cells; Developmental Lineage of Mammary Gland Myoepithelial Cells; Nervous system development; Axon guidance; Degradation of the extracellular matrix; Extracellular matrix organization; Developmental Lineage of Mammary Gland Luminal Epithelial Cells; Transcriptional regulation by RUNX3; Integrin cell surface interactions; Interleukin-4 and Interleukin-13 signaling,Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Positive Regulation Of Intracellular Signal Transduction; Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Positive Regulation Of Cell Motility; Positive Regulation Of Cell Population Proliferation; Regulation Of Intracellular Signal Transduction; Negative Regulation Of Cell Population Proliferation; Positive Regulation Of Cell Differentiation,The gene sets in this cluster are primarily related to the development and function of the nervous system.
A7,GNN text-only,474,"GSE174745-1-vs-6-human dn; GSE174745-1-vs-4-human dn; GSE184875,GSE184877-3-vs-6-human dn; GSE186459-4-vs-6-human dn; GSE131300-5-vs-2-human dn",Developmental Lineage of Pancreatic Ductal Cells; Developmental Lineage of Mammary Gland Myoepithelial Cells; Nervous system development; Axon guidance; Non-integrin membrane-ECM interactions; Degradation of the extracellular matrix; Regulation of PD-L1(CD274) transcription; Senescence-Associated Secretory Phenotype (SASP); ECM proteoglycans; Developmental Cell Lineages of the Exocrine Pancreas,Regulation Of Cell Migration; Regulation Of Apoptotic Process; Positive Regulation Of DNA-templated Transcription; Positive Regulation Of Cell Migration; Negative Regulation Of Apoptotic Process; Macromolecule Biosynthetic Process; Regulation Of Cell Population Proliferation; Positive Regulation Of Intracellular Signal Transduction; Translation; Gene Expression,"The gene sets in this cluster are primarily associated with the development and function of the nervous system. Many of the genes are involved in neurodevelopment, axon guidance, and the regulation of PD-L1 transcription, which plays a role in immune response and tumor microenvironment interactions."
A8,GNN text-only,261,"GSE58608,GSE60591-1-vs-6-human up; GSE149541,GSE149543-2-vs-3-human up; GSE61476-1-vs-2-human dn; GSE244307-1-vs-3-human dn; GSE109635-2-vs-1-human up",Translation; Major pathway of rRNA processing in the nucleolus and cytosol; rRNA processing in the nucleus and cytosol; rRNA processing; Metabolism of RNA; Metabolism of proteins; Translation initiation complex formation; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; L13a-mediated translational silencing of Ceruloplasmin expression,Histone Lysine Demethylation; Postsynaptic Membrane Assembly; Presynaptic Membrane Assembly; Postsynapse Assembly; Presynaptic Membrane Organization; Presynapse Organization; Sequestering Of Actin Monomers; Regulation Of Actin Filament Length; Neuron Cell-Cell Adhesion; Presynapse Assembly,"The gene sets in this cluster are primarily related to the metabolism of RNA and proteins, with a focus on the translation process. This includes the formation of translation initiation complexes, the metabolism of rRNA, and the regulation of actin filament length. These processes are crucial for the assembly and organization of the postsynaptic and presynaptic membranes in neurons, as well as for the sequestration of actin monomers."
A9,GNN text-only,518,GSE187784-15-vs-11-human dn; GSE162699-8-vs-10-human dn; GSE184029-2-vs-8-human dn; GSE111786-2-vs-6-human up; GSE85443-7-vs-6-human dn,Axon guidance; Nervous system development; Transcriptional regulation by RUNX3; Cellular responses to stimuli; Degradation of the extracellular matrix; Non-integrin membrane-ECM interactions; Cellular responses to stress; Extracellular matrix organization; Developmental Lineage of Pancreatic Ductal Cells; Fibronectin matrix formation,Regulation Of Cell Migration; Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Negative Regulation Of Apoptotic Process; Positive Regulation Of DNA-templated Transcription; Negative Regulation Of Programmed Cell Death; Regulation Of Cell Population Proliferation; Gene Expression; Translation; Ribosome Biogenesis,"The gene set cluster is primarily associated with the biological process of gene expression, particularly in the context of RNA metabolism and its regulation in human neurodevelopment and neurodegenerative diseases."
